feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Enterococcaceae	cl	Cluster E	9.50777213976105	0.729441994456514	190	133	4.37622220940713e-26	1.18157999653993e-24
Bifidobacteriaceae	cl	Cluster E	-5.98412164814783	0.858344977474822	190	102	1.29592621393574e-10	1.74950038881325e-09
Bacteroidaceae	cl	Cluster E	-6.40580246672683	0.944224599684634	190	79	1.96999379497421e-10	1.77299441547679e-09
Clostridiaceae	cl	Cluster E	-3.61121792963039	0.573784264522733	190	77	3.1354498942946e-09	2.11642867864886e-08
Lachnospiraceae	cl	Cluster E	-6.06093513221886	0.982306949419379	190	88	5.67041063201088e-09	3.06202174128587e-08
Eggerthellaceae	cl	Cluster E	-3.88028436879715	0.670439867917439	190	68	3.20517365922899e-08	1.44232814665305e-07
Erysipelotrichaceae	cl	Cluster E	-3.92424636254467	0.706738092703385	190	88	1.14116491414723e-07	4.40163609742505e-07
Veillonellaceae	cl	Cluster E	-5.21780709832091	0.941233777903675	190	89	1.59323364324101e-07	5.3771635459384e-07
Coriobacteriaceae	cl	Cluster E	-3.00987626034013	0.569507045969252	190	37	3.56524866333473e-07	1.06957459900042e-06
Oscillospiraceae	cl	Cluster E	-4.45850002135921	0.843590517189631	190	81	4.23785888156579e-07	1.14422189802276e-06
Rikenellaceae	cl	Cluster E	-2.90073397300206	0.58069196332249	190	49	1.44729454284187e-06	3.25641272139421e-06
Eubacteriaceae	cl	Cluster E	-2.23263483463595	0.448047506949599	190	44	1.4419314188637e-06	3.25641272139421e-06
Eubacteriales_Family_XIII_Incertae_Sedis	cl	Cluster E	-2.59247960781882	0.531435231609633	190	44	2.95853194944304e-06	6.14464327961246e-06
Eubacteriales_unclassified	cl	Cluster E	-3.6766382769793	0.767961892835401	190	50	3.41710564313962e-06	6.59013231176927e-06
Tannerellaceae	cl	Cluster E	-4.33743120561097	0.915804776076559	190	55	4.93417178986067e-06	8.8815092217492e-06
Eubacteriales_incertae_sedis	cl	Cluster E	-2.10569403643193	0.482521946632853	190	25	2.14731303640098e-05	3.62359074892666e-05
Desulfovibrionaceae	cl	Cluster E	-1.81212605779779	0.441795967010886	190	45	6.18594669861289e-05	9.82473887426753e-05
Peptostreptococcaceae	cl	Cluster E	-2.09506880668948	0.552452691257697	190	51	0.000211177478805711	0.000316766218208566
Actinomycetaceae	cl	Cluster E	-2.23139191854315	0.616282743504932	190	76	0.000403152566305043	0.000550341199358655
Enterobacteriaceae	cl	Cluster E	-4.19811915074102	1.16315371773021	190	93	0.000407660147673078	0.000550341199358655
Acidaminococcaceae	cl	Cluster E	-1.90224146653273	0.567896713695215	190	30	0.000977840748433174	0.00125722381941408
Sutterellaceae	cl	Cluster E	-1.55274073151777	0.466446518311363	190	36	0.0010492708806641	0.00128774153536049
Streptococcaceae	cl	Cluster E	-1.95208056200533	0.672853697355509	190	164	0.00432271703225726	0.00507449390743243
Micrococcaceae	cl	Cluster E	-1.72920554715228	0.75386064367168	190	88	0.0231071236511887	0.0259955141075873
Staphylococcaceae	cl	Cluster E	1.26326597695881	0.853652047801385	190	60	0.140870978510524	0.152140656791366
Lactobacillaceae	cl	Cluster E	-1.29698530087249	1.07149143423239	190	147	0.228114582027108	0.236888219797381
Saccharomycetaceae	cl	Cluster E	0.423280891268511	0.448101227906016	190	43	0.346279739876426	0.346279739876426
