feature	Enterococcaceae	Streptococcaceae	Bifidobacteriaceae	Saccharomycetaceae	Micrococcaceae	Actinomycetaceae	Lactobacillaceae	Staphylococcaceae	Veillonellaceae	Bacteroidaceae	Lachnospiraceae	Oscillospiraceae	Clostridiaceae	Rikenellaceae	Coriobacteriaceae	Eubacteriales_unclassified	Tannerellaceae	Peptostreptococcaceae	Desulfovibrionaceae	Eubacteriales_Family_XIII_Incertae_Sedis	Sutterellaceae	Eubacteriaceae	Erysipelotrichaceae	Eggerthellaceae	Enterobacteriaceae	Acidaminococcaceae	Eubacteriales_incertae_sedis
220325-LD-037.04	0.9385442	0.0566995999999999	0.0043486999999998	0.0004074999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230426-LD-438.03	0.968864933462335	0.000116470081259563	0	0	0.00430698949676212	0.00179321863717577	0.0017009839468576	0.00109089303109321	1.39203278547653e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230426-LD-456.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230426-HT-119.01	0	0	0.0050872924009573	0	0	0	0	0	0.0399683671338267	0.196633859158409	0.262266484162503	0.155110818676497	0.0568075412467654	0.0526336612301022	0.0218744211767239	0.0154143354924904	0.011024138560513	0.00860876684201603	0.0054265343845823	0.00421689821826635	0.00218233788546149	0.00238416680541687	0.00152948652538398	0.00156604085213464	0	0	0
230426-LD-456.05	0	0.2319993	0	0	0	0	0	0.7680007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230426-LD-463.01	0.432236543223654	0	0	0	0	0	0.567680356768036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230809-LD-492.01	0.9554663	0.0413655999999999	0	0	0.0001246999999999	0	0.0015245999999998	0.0015187999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230809-UC-198.01	0	0.0396648159192141	0.00176943566134195	0	0	0.0165027102144219	0	0	0	0	0.799724839292002	0.0128263991924011	0.00266791755546988	6.11847784327368e-05	0	0.00410540821198185	0	0.000355655362318275	0	0.00355353959468953	0	0	0.0451959600765805	0.0697562735998432	0	0	0
230809-LD-482.02	0.0368389	0.0032946999999998	0.8242388	0	0.0016117	0.0003785	0.131191	0	0	0	0.0023355999999999	0	0	0	0	0	0	0	0	0	0	0	0.0001107999999999	0	0	0	0
230809-LD-496.02	0.00343126351648784	0.0676973525961485	0.110002096153129	0	0.000471247913510273	0.00182877764232903	0.0216772935813758	0	0.0386432124286641	0.113154829733391	0.192581362879447	0.27709134346187	0.00175135913111008	0.0391255043523338	0	0.00667544150087219	0.0292958935498784	0	0	0.00104697216313053	0.00082553975943043	0	0.027556020189334	0.00633716346968335	0.0106304119791285	0	0
230809-LD-331.02	0	0.0169157696707311	0.721148103952819	0	0	0.000279878988714525	0.0290244245345795	0	0.00832893377746021	0.0369961086885815	0.0686633776286062	0.0197253974678022	0.00246271432844939	0.00571840239975402	0	0.000155845130682515	0.00215323178947642	0.000399497401962225	0	0	0	0.000446863082375744	0.0131379552536818	0.0086778542664384	0	0	0
