feature	Enterococcus	Streptococcus	Bifidobacterium	Rothia	Actinomyces	Lacticaseibacillus	Staphylococcus	Veillonella	Phocaeicola	Blautia	Dialister	Faecalibacterium	Oscillospiraceae_unclassified	Alistipes	Anaerostipes	Lachnospiraceae_unclassified	Roseburia	Collinsella	Bacteroides	Fusicatenibacter	Dorea	Parabacteroides	Mediterraneibacter	Flavonifractor	Anaerobutyricum	Bilophila	Ruthenibacterium	Eubacteriales_unclassified	Clostridium	Eubacterium	Enterocloster	Lachnoclostridium	Lactococcus	Limosilactobacillus	Eggerthella	Erysipelatoclostridium	Hungatella	Lactobacillus	Escherichia	Megasphaera	Klebsiella	Gemmiger	Candidatus_Cibionibacter
220325-LD-037.04	0.9385442	0.0566995999999999	0.0043486999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230426-LD-438.03	0.968864933462335	0.000116470081259563	0	0.00430698949676212	0.00179321863717577	0.0017009839468576	0.00109089303109321	1.39203278547653e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230426-LD-456.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230426-HT-119.01	0	0	0.0050872924009573	0	0	0	0	0	0.136904200693953	0.0922874159724131	0.0399683671338267	0.0327262640385888	0.0347121224177656	0.0526336612301022	0.0257316827717452	0.0303212568090794	0.0217319930377381	0.0218744211767239	0.0597296584644555	0.0189374816253214	0.0179394816373573	0.011024138560513	0.0154615886465828	0.0105248599512357	0.00956631188909411	0.0054265343845823	0.00539722405551089	0.00431697683235798	0.00656607094258645	0.00238416680541687	0.001200274692392	3.83374646409322e-05	0	0	0	0	0	0	0	0	0	0	0
230426-LD-456.05	0	0.013282	0	0	0	0	0.7680007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2187173	0	0	0	0	0	0	0	0	0	0
230426-LD-463.01	0.432236543223654	0	0	0	0	0.567680356768036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230809-LD-492.01	0.9554663	0.041204	0	0.0001246999999999	0	0.0005779999999999	0.0015187999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001615999999999	0.000946599999999901	0	0	0	0	0	0	0	0	0
230809-UC-198.01	0	0.0385790623879785	0.00176943566134195	0	0.00235586513870148	0	0	0	0	0.670534937814565	0	0	0.00501112377449602	6.11847784327368e-05	0.00599058256750219	0.0781273358720831	0	0	0	0	0.000250063897403977	0	0.0055996630718013	8.10773664946121e-05	0	0	0.00766728661883873	0	0.0014598949349853	0	0	0.00539933064455201	0.00108575353123569	0	0.060241287046429	0.0214525487428688	0.000966197067631485	0	0	0	0	0	0
230809-LD-482.02	0.0368389	0.0032946999999998	0.8242388	0.0016117	0.0003785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023355999999999	0	0	0	0	0	0	0	0	0	0	0.0255820999999999	0	0.0001107999999999	0	0.1056089	0	0	0	0	0
230809-LD-496.02	0.00343126351648784	0.0676973525961485	0.110002096153129	0.000471247913510273	0.00182877764232903	0.0177236483843386	0	0	0.0525144891891292	0.0785078923809804	0.00272720786881297	0.0408495847783503	0.160640870656751	0.0391255043523338	0.00442677059227472	0	0	0	0.060640340544262	0	0	0.0292958935498784	0.0589713697289427	0.0167410628004385	0	0	0.0272043789058524	0.00667544150087219	0.000136835285877407	0	0.00759960427102779	0.00957338976675277	0	0	0.00611131346191952	0.011888545616511	5.14650873437632e-05	0	0.00134703791916702	0	0	0	0
