feature	Enterococcus	Streptococcus	Bifidobacterium	Rothia	Actinomyces	Lacticaseibacillus	Staphylococcus	Veillonella	Phocaeicola	Blautia	Dialister	Faecalibacterium	Oscillospiraceae_unclassified	Alistipes	Anaerostipes	Lachnospiraceae_unclassified	Roseburia	Collinsella	Bacteroides	Fusicatenibacter	Dorea	Parabacteroides	Mediterraneibacter	Flavonifractor	Anaerobutyricum	Bilophila	Ruthenibacterium	Eubacteriales_unclassified	Clostridium	Eubacterium	Enterocloster	Lachnoclostridium	Lactococcus	Limosilactobacillus	Eggerthella	Erysipelatoclostridium	Hungatella	Lactobacillus	Escherichia	Megasphaera	Klebsiella	Gemmiger	Candidatus_Cibionibacter
220325-LD-037.04	-0.0915034056444755	-4.14051763238592	-7.84520009838048	-18.4989462015671	-16.6314449890247	-19.3466060686035	-17.5627108898534	-18.9511742187824	-16.0069240310979	-16.7858909698591	-15.0109497489759	-17.2478810023783	-15.9625213842337	-14.9964676909796	-14.1152967680514	-15.0798606152778	-14.1818587435195	-16.2591430830832	-17.2351048627738	-15.7704838352758	-13.3627410830473	-19.2473999552595	-16.3580615839116	-17.37840269363	-14.8975574757837	-14.9264708811837	-17.1306593995202	-18.0771195366256	-16.0519409736294	-14.8238835298653	-15.6720518133382	-17.8748204950908	-17.5669961370284	-16.8269876405611	-16.6757407401323	-15.0121503648098	-17.0459275071286	-16.0930080104411	-19.9290624523733	-14.9492157912566	-14.5970260929101	-15.4222407272928	-15.7752571162942
230426-LD-438.03	-0.0456325369929894	-13.0677529754158	-19.470273423715	-7.8591044793056	-9.12323288594864	-9.19941475912124	-9.84027464136657	-16.1324472841644	-16.0069240310979	-16.7858909698591	-15.0109497489759	-17.2478810023783	-15.9625213842337	-14.9964676909796	-14.1152967680514	-15.0798606152778	-14.1818587435195	-16.2591430830832	-17.2351048627738	-15.7704838352758	-13.3627410830473	-19.2473999552595	-16.3580615839116	-17.37840269363	-14.8975574757837	-14.9264708811837	-17.1306593995202	-18.0771195366256	-16.0519409736294	-14.8238835298653	-15.6720518133382	-17.8748204950908	-17.5669961370284	-16.8269876405611	-16.6757407401323	-15.0121503648098	-17.0459275071286	-16.0930080104411	-19.9290624523733	-14.9492157912566	-14.5970260929101	-15.4222407272928	-15.7752571162942
230426-LD-456.01	-15.2970127097091	-15.5120296778104	-19.470273423715	-18.4989462015671	-16.6314449890247	-19.3466060686035	-17.5627108898534	-18.9511742187824	-16.0069240310979	-16.7858909698591	-15.0109497489759	-17.2478810023783	-15.9625213842337	-14.9964676909796	-14.1152967680514	-15.0798606152778	-14.1818587435195	-16.2591430830832	-17.2351048627738	-15.7704838352758	-13.3627410830473	-19.2473999552595	-16.3580615839116	-17.37840269363	-14.8975574757837	-14.9264708811837	-17.1306593995202	-18.0771195366256	-16.0519409736294	-14.8238835298653	-15.6720518133382	-17.8748204950908	-17.5669961370284	-16.8269876405611	-16.6757407401323	-15.0121503648098	-17.0459275071286	-16.0930080104411	-19.9290624523733	-14.9492157912566	-14.5970260929101	-15.4222407272928	-15.7752571162942
230426-HT-119.01	-15.2970127097091	-15.5120296778104	-7.61888626667785	-18.4989462015671	-16.6314449890247	-19.3466060686035	-17.5627108898534	-18.9511742187824	-2.86876138074328	-3.43772224994172	-4.64499755562158	-4.93340727302102	-4.84841661060722	-4.24787043669215	-5.2803103818648	-5.0435266356507	-5.52403569984788	-5.51461134775631	-4.0654087173346	-5.72261170100805	-5.80071798569471	-6.50319026351859	-6.01516762893389	-6.57005515353788	-6.70782145659165	-7.52575315889538	-7.53356670536248	-7.85576293426067	-7.25075394718422	-8.71229910887496	-9.702419668828	-14.6708855435575	-17.5669961370284	-16.8269876405611	-16.6757407401323	-15.0121503648098	-17.0459275071286	-16.0930080104411	-19.9290624523733	-14.9492157912566	-14.5970260929101	-15.4222407272928	-15.7752571162942
230426-LD-456.05	-15.2970127097091	-6.23438378609966	-19.470273423715	-18.4989462015671	-16.6314449890247	-19.3466060686035	-0.380820468985112	-18.9511742187824	-16.0069240310979	-16.7858909698591	-15.0109497489759	-17.2478810023783	-15.9625213842337	-14.9964676909796	-14.1152967680514	-15.0798606152778	-14.1818587435195	-16.2591430830832	-17.2351048627738	-15.7704838352758	-13.3627410830473	-19.2473999552595	-16.3580615839116	-17.37840269363	-14.8975574757837	-14.9264708811837	-17.1306593995202	-18.0771195366256	-16.0519409736294	-14.8238835298653	-15.6720518133382	-17.8748204950908	-2.1928607563619	-16.8269876405611	-16.6757407401323	-15.0121503648098	-17.0459275071286	-16.0930080104411	-19.9290624523733	-14.9492157912566	-14.5970260929101	-15.4222407272928	-15.7752571162942
230426-LD-463.01	-1.21010704559865	-15.5120296778104	-19.470273423715	-18.4989462015671	-16.6314449890247	-0.81684927345009	-17.5627108898534	-18.9511742187824	-16.0069240310979	-16.7858909698591	-15.0109497489759	-17.2478810023783	-15.9625213842337	-14.9964676909796	-14.1152967680514	-15.0798606152778	-14.1818587435195	-16.2591430830832	-17.2351048627738	-15.7704838352758	-13.3627410830473	-19.2473999552595	-16.3580615839116	-17.37840269363	-14.8975574757837	-14.9264708811837	-17.1306593995202	-18.0771195366256	-16.0519409736294	-14.8238835298653	-15.6720518133382	-17.8748204950908	-17.5669961370284	-16.8269876405611	-16.6757407401323	-15.0121503648098	-17.0459275071286	-16.0930080104411	-19.9290624523733	-14.9492157912566	-14.5970260929101	-15.4222407272928	-15.7752571162942
230809-LD-492.01	-0.0657231057037598	-4.60107179168548	-19.470273423715	-12.969250914383	-16.6314449890247	-10.7566428868237	-9.36285238059254	-18.9511742187824	-16.0069240310979	-16.7858909698591	-15.0109497489759	-17.2478810023783	-15.9625213842337	-14.9964676909796	-14.1152967680514	-15.0798606152778	-14.1818587435195	-16.2591430830832	-17.2351048627738	-15.7704838352758	-13.3627410830473	-19.2473999552595	-16.3580615839116	-17.37840269363	-14.8975574757837	-14.9264708811837	-17.1306593995202	-18.0771195366256	-16.0519409736294	-14.8238835298653	-15.6720518133382	-17.8748204950908	-12.5952851814606	-10.0449574574733	-16.6757407401323	-15.0121503648098	-17.0459275071286	-16.0930080104411	-19.9290624523733	-14.9492157912566	-14.5970260929101	-15.4222407272928	-15.7752571162942
230809-UC-198.01	-15.2970127097091	-4.69603810871667	-9.14249497994919	-18.4989462015671	-8.72952733008428	-19.3466060686035	-17.5627108898534	-18.9511742187824	-16.0069240310979	-0.576615590052708	-15.0109497489759	-17.2478810023783	-7.6406501119622	-13.9964676909796	-7.38308797674343	-3.67802877038378	-14.1818587435195	-16.2591430830832	-17.2351048627738	-15.7704838352758	-11.9654155939055	-19.2473999552595	-7.48044426093199	-13.5903412456082	-14.8975574757837	-14.9264708811837	-7.02706817292223	-18.0771195366256	-9.4199197390019	-14.8238835298653	-15.6720518133382	-7.53300371731939	-9.84708763973312	-16.8269876405611	-4.05310359646367	-5.54270712758575	-10.0153949052932	-16.0930080104411	-19.9290624523733	-14.9492157912566	-14.5970260929101	-15.4222407272928	-15.7752571162942
230809-LD-482.02	-4.7626262062021	-8.24563717852336	-0.278865716624381	-9.27720105741594	-11.3674190793384	-19.3466060686035	-17.5627108898534	-18.9511742187824	-16.0069240310979	-16.7858909698591	-15.0109497489759	-17.2478810023783	-15.9625213842337	-14.9964676909796	-14.1152967680514	-15.0798606152778	-14.1818587435195	-16.2591430830832	-17.2351048627738	-15.7704838352758	-13.3627410830473	-19.2473999552595	-8.74199106841912	-17.37840269363	-14.8975574757837	-14.9264708811837	-17.1306593995202	-18.0771195366256	-16.0519409736294	-14.8238835298653	-15.6720518133382	-17.8748204950908	-17.5669961370284	-5.28872149180881	-16.6757407401323	-13.1397544981636	-17.0459275071286	-3.24319667453934	-19.9290624523733	-14.9492157912566	-14.5970260929101	-15.4222407272928	-15.7752571162942
230809-LD-496.02	-8.1870443574458	-3.88475677356808	-3.18439707949279	-11.0512261488075	-9.09490461351795	-5.81818057887201	-17.5627108898534	-18.9511742187824	-4.25114066038044	-3.6710184946679	-8.51835961745753	-4.61353477581648	-2.63808910120832	-4.67574684036408	-7.81952967381118	-15.0798606152778	-14.1818587435195	-16.2591430830832	-4.04357833435051	-15.7704838352758	-13.3627410830473	-5.09315773572173	-4.08384148572507	-5.90046506999575	-14.8975574757837	-14.9264708811837	-5.20001729869272	-7.22692102762893	-12.8352720718688	-14.8238835298653	-7.0398599886177	-6.70675443688077	-17.5669961370284	-16.8269876405611	-7.35430180292388	-6.39428395578328	-14.246046399354	-16.0930080104411	-9.53599382137173	-14.9492157912566	-14.5970260929101	-15.4222407272928	-15.7752571162942
