feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Enterococcus	cl	Cluster E	9.50777213976105	0.729441994456514	190	133	4.37622220940713e-26	1.88177555004507e-24
Bifidobacterium	cl	Cluster E	-7.4651442265434	1.07030960417394	190	91	1.22698487372991e-10	2.63801747851931e-09
Bacteroides	cl	Cluster E	-5.75079700869381	0.916810510887083	190	71	2.94122404953255e-09	4.21575447099665e-08
Phocaeicola	cl	Cluster E	-4.90325641294383	0.793442526348834	190	68	4.76164925530393e-09	5.11877294945173e-08
Mediterraneibacter	cl	Cluster E	-4.29258567178793	0.739525730318496	190	65	2.88507988396643e-08	2.48116870021113e-07
Hungatella	cl	Cluster E	-2.80792332130994	0.535847232909951	190	44	4.69032633085069e-07	3.36140053710966e-06
Blautia	cl	Cluster E	-4.58138431249138	0.880283409452802	190	67	5.75490172244025e-07	3.40183383224979e-06
Collinsella	cl	Cluster E	-2.90332728165194	0.56212463371057	190	36	6.32899317627869e-07	3.40183383224979e-06
Faecalibacterium	cl	Cluster E	-3.71698779242865	0.729934576023998	190	44	1.17345838497815e-06	5.60652339489563e-06
Alistipes	cl	Cluster E	-2.89922754173935	0.58042754890322	190	49	1.44956756346062e-06	5.74164756254486e-06
Erysipelatoclostridium	cl	Cluster E	-3.35976132974988	0.671853687609732	190	85	1.46879356251148e-06	5.74164756254486e-06
Enterocloster	cl	Cluster E	-3.28235814096342	0.669257188342078	190	66	2.11554517334622e-06	7.58070353782396e-06
Parabacteroides	cl	Cluster E	-4.33743120561097	0.915804776076559	190	55	4.93417178986067e-06	1.51549562117149e-05
Clostridium	cl	Cluster E	-2.82599969538485	0.594172718763244	190	57	4.61091365367804e-06	1.51549562117149e-05
Escherichia	cl	Cluster E	-4.52053937734414	0.984107805102751	190	68	9.1205000800825e-06	2.61454335629032e-05
Lachnoclostridium	cl	Cluster E	-3.12189145707686	0.68999105993544	190	54	1.07336965598344e-05	2.8846809504555e-05
Eggerthella	cl	Cluster E	-2.93037431052536	0.651229851973844	190	53	1.20138106534671e-05	3.03878740058285e-05
Candidatus_Cibionibacter	cl	Cluster E	-2.10569403643193	0.482521946632853	190	25	2.14731303640098e-05	5.12969225362457e-05
Anaerostipes	cl	Cluster E	-1.93872738814345	0.454693049026495	190	41	3.43418198013919e-05	7.772096060315e-05
Lachnospiraceae_unclassified	cl	Cluster E	-2.37247405195971	0.561363977323871	190	40	3.80305803291995e-05	8.17657477077789e-05
Flavonifractor	cl	Cluster E	-2.92288931664482	0.6974728617675	190	69	4.78184720201158e-05	9.79140141364276e-05
Veillonella	cl	Cluster E	-3.65032112244145	0.882581740488068	190	78	5.32445728408321e-05	0.000100095642560689
Eubacterium	cl	Cluster E	-1.67700728274957	0.405366755239386	190	32	5.35395297417638e-05	0.000100095642560689
Gemmiger	cl	Cluster E	-1.98911136231142	0.494077676519322	190	25	8.22616197150448e-05	0.000147385401989455
Dorea	cl	Cluster E	-1.56886422484684	0.392980086978981	190	35	9.67999839186169e-05	0.000166495972340021
Dialister	cl	Cluster E	-1.53109339157038	0.408701273465246	190	28	0.000258180422466727	0.000417354909085002
Anaerobutyricum	cl	Cluster E	-1.6497122147991	0.441253373505012	190	25	0.000262060059192908	0.000417354909085002
Bilophila	cl	Cluster E	-1.5257295465026	0.425590072945815	190	42	0.000433895187453318	0.000666339037874738
Oscillospiraceae_unclassified	cl	Cluster E	-1.86252103068983	0.521571255250761	190	37	0.000456737972794121	0.0006772321665568
Roseburia	cl	Cluster E	-1.27250086225477	0.359921322905948	190	28	0.000579659530221465	0.000830845326650766
Lactobacillus	cl	Cluster E	-2.36284316210403	0.739473214704462	190	74	0.00163839947597173	0.00227261862796079
Actinomyces	cl	Cluster E	-1.81810972789535	0.577103008006769	190	72	0.00197333434978601	0.00261617807331027
Megasphaera	cl	Cluster E	-1.58284506718763	0.503993521671853	190	35	0.00200776456788928	0.00261617807331027
Fusicatenibacter	cl	Cluster E	-1.62767126539367	0.534293919766589	190	32	0.00267972681984893	0.00334970597378817
Ruthenibacterium	cl	Cluster E	-1.96164421424422	0.644885533798524	190	42	0.00272650486238572	0.00334970597378817
Eubacteriales_unclassified	cl	Cluster E	-1.64386892570504	0.56744872273468	190	31	0.00422471260061849	0.00504618449518319
Streptococcus	cl	Cluster E	-1.94454799767456	0.703320506015906	190	156	0.00645496812704129	0.00750171971521014
Rothia	cl	Cluster E	-1.72920554715228	0.75386064367168	190	88	0.0231071236511887	0.026147534657924
Limosilactobacillus	cl	Cluster E	-1.85745909604018	0.824689984172254	190	82	0.025736606957758	0.0283762589534255
Klebsiella	cl	Cluster E	-1.12520483681902	0.64685817468145	190	43	0.0836856198170897	0.0899620413033714
