feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Enterococcus_faecium	cl	Cluster E	13.0066022478205	0.771401804626033	190	114	1.94075771894136e-34	1.02860159103892e-32
Bacteroides_uniformis	cl	Cluster E	-4.06029148308726	0.699275321167899	190	49	2.67746459795996e-08	7.0952811845939e-07
Phocaeicola_vulgatus	cl	Cluster E	-3.95220551351562	0.689087939506901	190	60	4.46827374691134e-08	7.89395028621003e-07
Collinsella_aerofaciens	cl	Cluster E	-2.82281344058962	0.532407853030758	190	33	3.2002670449519e-07	4.24035383456126e-06
Bifidobacterium_longum	cl	Cluster E	-3.6404209232627	0.712432360173601	190	68	1.21236792896042e-06	9.17935717641461e-06
Clostridium_innocuum	cl	Cluster E	-3.92286304648382	0.775578414256958	190	77	1.1796248988859e-06	9.17935717641461e-06
Hungatella_hathewayi	cl	Cluster E	-2.24712363293019	0.445367224076411	190	43	1.16309951888203e-06	9.17935717641461e-06
Blautia_wexlerae	cl	Cluster E	-2.8123699754975	0.567491860055211	190	45	1.68028129056453e-06	1.05481019042707e-05
Faecalibacterium_prausnitzii	cl	Cluster E	-3.61178757224265	0.722873818384929	190	43	1.79118711581955e-06	1.05481019042707e-05
Streptococcus_salivarius	cl	Cluster E	-3.2918105535309	0.716555323886438	190	66	9.01305680055836e-06	4.0697986121522e-05
Bacteroides_ovatus	cl	Cluster E	-3.06175748334288	0.670001079641279	190	44	9.21463836713706e-06	4.0697986121522e-05
Escherichia_coli	cl	Cluster E	-4.52052244866872	0.984104331280132	190	68	9.12055769449634e-06	4.0697986121522e-05
Eggerthella_lenta	cl	Cluster E	-2.9199917774807	0.649051391709833	190	53	1.20658380336049e-05	4.91914935216199e-05
Blautia_obeum	cl	Cluster E	-2.9404008178976	0.658595307629953	190	36	1.38815428147603e-05	5.25515549415927e-05
Bifidobacterium_dentium	cl	Cluster E	-3.29347445512814	0.744630951119967	190	38	1.83116140561225e-05	6.47010363316328e-05
Parabacteroides_distasonis	cl	Cluster E	-3.68962630989402	0.839282420781354	190	44	1.9584902482934e-05	6.48749894747189e-05
Candidatus_Cibionibacter_quicibialis	cl	Cluster E	-2.10569403643193	0.482521946632853	190	25	2.14731303640098e-05	6.69456417230895e-05
Ruminococcus_gnavus	cl	Cluster E	-1.84280942994333	0.431954495798056	190	54	3.19705826003355e-05	9.41356043232102e-05
Flavonifractor_plautii	cl	Cluster E	-2.92288931664482	0.6974728617675	190	69	4.78184720201158e-05	0.00013338836931927
Eubacterium_rectale	cl	Cluster E	-1.73489690109825	0.426852002883873	190	29	7.20407123992823e-05	0.000185556327864994
