feature	Enterococcus_faecium	Streptococcus_parasanguinis	Streptococcus_thermophilus	Bifidobacterium_longum	Bifidobacterium_breve	Enterococcus_faecalis	Rothia_mucilaginosa	Lacticaseibacillus_rhamnosus	Staphylococcus_epidermidis	Phocaeicola_vulgatus	Blautia_wexlerae	Faecalibacterium_prausnitzii	Anaerostipes_hadrus	Eubacterium_rectale	Collinsella_aerofaciens	Bacteroides_stercoris	Fusicatenibacter_saccharivorans	Dorea_longicatena	Blautia_faecis	Blautia_obeum	Parabacteroides_distasonis	Ruminococcus_torques	Flavonifractor_plautii	Bacteroides_uniformis	Bacteroides_caccae	Bilophila_wadsworthia	Ruthenibacterium_lactatiformans	Ruminococcus_gnavus	Alistipes_onderdonkii	Bacteroides_thetaiotaomicron	Enterocloster_bolteae	Lactococcus_lactis	Eggerthella_lenta	Erysipelatoclostridium_ramosum	Blautia_producta	Streptococcus_salivarius	Clostridium_innocuum	Bifidobacterium_dentium	Hungatella_hathewayi	Streptococcus_gordonii	Limosilactobacillus_fermentum	Parabacteroides_merdae	Enterocloster_clostridioformis	Bacteroides_ovatus	Escherichia_coli	Lacticaseibacillus_paracasei	Clostridium_symbiosum	Lactobacillus_gasseri	Veillonella_parvula	Klebsiella_pneumoniae	Gemmiger_formicilis	Candidatus_Cibionibacter_quicibialis	Phocaeicola_dorei
220325-LD-037.04	0.9385442	0.0485644	0.0079347	0.0002303999999999	0.0001249999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230426-LD-438.03	0.557414392236984	0	0	0	0	0.411450541225351	0.00430698949676212	0.0017009839468576	0.00109089303109321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230426-LD-456.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230426-HT-119.01	0	0	0	0.0050872924009573	0	0	0	0	0	0.136904200693953	0.0610216533120785	0.0321059549450092	0.0257316827717452	0.023500865824892	0.0209259032652153	0.0197682009899537	0.0189374816253214	0.0166029083424776	0.0140925845313235	0.0140056565591725	0.011024138560513	0.0105249713973538	0.0105248599512357	0.00952619128656301	0.0088068065939548	0.0054265343845823	0.00539722405551089	0.00286739717368188	0.0026290139269755	0.0012564435359357	8.72623105053785e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230426-LD-456.05	0	0.013282	0	0	0	0	0	0	0.7680007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1806053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230426-LD-463.01	0.432236543223654	0	0	0	0	0	0	0.567680356768036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230809-LD-492.01	0.9554663	0	0.041204	0	0	0	0.0001246999999999	0.0005779999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001615999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230809-UC-198.01	0	0.0153976669008232	0.0152382247934788	0.000525546101776007	0	0	0	0	0	0	0.579767168308175	0	0	0.0027916936589663	0	0	0	0	0.00727425730319199	0	0	0	8.10773664946121e-05	0	0	0	0.00766728661883873	0.0055996630718013	6.11847784327368e-05	0	0	0.00108575353123569	0.0343523897629125	0.0152505823103051	0.0126736884153605	0.00693759032038722	0.00617052006860734	0.00124388955956595	0.000966197067631485	0.000847343877342605	0	0	0	0	0	0	0	0	0	0	0	0	0
230809-LD-482.02	0.0368389	0.0024840999999999	7.99999999999995e-05	0	0.8242388	0	0.0016117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023355999999999	0	0	0	0	0	0	0	0.0007305999999999	0.0001107999999999	0	0	0	0.0255820999999999	0	0	0	0	0	0	0	0	0	0	0	0
230809-LD-496.02	0.00335351368496422	0.00454615634210006	0.00132815266179409	0.0452845279381432	0.00928094437772641	0	0.000471247913510273	0.0165937357049095	0	0.0112218187231755	0.0236143025232692	0.0408495847783503	0	0	0	0.026755550332966	0	0	0	0	0.00600054204001856	0.0510815288709204	0.0167410628004385	0.0105893282613349	0	0	0.0272043789058524	0.00651176927030683	0.0188172262703429	0.012862958632893	0.000184987170173288	0	0.00611131346191952	0.00192706933274963	0.0147732410701999	0	0.00996147628376132	0.00149723645733766	5.14650873437632e-05	0.000545684541986017	0	0.0110790196718118	0.00670084272423928	0.00211757850800272	0.00134703791916702	0.00112991267942917	5.52200507980282e-06	0	0	0	0	0	0
