feature	Enterococcus_faecium	Streptococcus_parasanguinis	Streptococcus_thermophilus	Bifidobacterium_longum	Bifidobacterium_breve	Enterococcus_faecalis	Rothia_mucilaginosa	Lacticaseibacillus_rhamnosus	Staphylococcus_epidermidis	Phocaeicola_vulgatus	Blautia_wexlerae	Faecalibacterium_prausnitzii	Anaerostipes_hadrus	Eubacterium_rectale	Collinsella_aerofaciens	Bacteroides_stercoris	Fusicatenibacter_saccharivorans	Dorea_longicatena	Blautia_faecis	Blautia_obeum	Parabacteroides_distasonis	Ruminococcus_torques	Flavonifractor_plautii	Bacteroides_uniformis	Bacteroides_caccae	Bilophila_wadsworthia	Ruthenibacterium_lactatiformans	Ruminococcus_gnavus	Alistipes_onderdonkii	Bacteroides_thetaiotaomicron	Enterocloster_bolteae	Lactococcus_lactis	Eggerthella_lenta	Erysipelatoclostridium_ramosum	Blautia_producta	Streptococcus_salivarius	Clostridium_innocuum	Bifidobacterium_dentium	Hungatella_hathewayi	Streptococcus_gordonii	Limosilactobacillus_fermentum	Parabacteroides_merdae	Enterocloster_clostridioformis	Bacteroides_ovatus	Escherichia_coli	Lacticaseibacillus_paracasei	Clostridium_symbiosum	Lactobacillus_gasseri	Veillonella_parvula	Klebsiella_pneumoniae	Gemmiger_formicilis	Candidatus_Cibionibacter_quicibialis	Phocaeicola_dorei
220325-LD-037.04	-0.0915034056444755	-4.36395705214717	-6.97760860686869	-12.0835716627699	-12.9657842846632	-15.1037526713061	-18.4989462015671	-19.3466060686035	-17.5627108898534	-15.4269480326511	-14.3578908299394	-17.2478810023783	-15.1735921044141	-13.933312417845	-16.2591430830832	-17.5924722717744	-15.7704838352758	-14.5613628118233	-16.4963088718368	-17.7096777876985	-19.2473999552595	-15.2783882944258	-17.37840269363	-17.2351048627738	-14.9114218519429	-14.9264708811837	-17.1306593995202	-12.8474829157405	-15.5719909010342	-15.0920280909741	-15.7817123261226	-17.5669961370284	-16.6757407401323	-14.8590338253317	-15.071450008379	-16.7129328127137	-17.1217662815995	-19.470273423715	-15.518274918565	-16.2150184131485	-16.8269876405611	-15.1799403022914	-15.2704435530734	-16.9580071513811	-19.9290624523733	-17.0588388696992	-18.4663763542336	-16.4179579413729	-18.994341158969	-16.6089752314214	-15.4222407272928	-15.7752571162942	-18.9983815141945
230426-LD-438.03	-0.843177842103216	-18.638459724053	-16.9862099987389	-16.039186771016	-20.2387667112423	-1.28120907424611	-7.8591044793056	-9.19941475912124	-9.84027464136657	-15.4269480326511	-14.3578908299394	-17.2478810023783	-15.1735921044141	-13.933312417845	-16.2591430830832	-17.5924722717744	-15.7704838352758	-14.5613628118233	-16.4963088718368	-17.7096777876985	-19.2473999552595	-15.2783882944258	-17.37840269363	-17.2351048627738	-14.9114218519429	-14.9264708811837	-17.1306593995202	-12.8474829157405	-15.5719909010342	-15.0920280909741	-15.7817123261226	-17.5669961370284	-16.6757407401323	-14.8590338253317	-15.071450008379	-16.7129328127137	-17.1217662815995	-19.470273423715	-15.518274918565	-16.2150184131485	-16.8269876405611	-15.1799403022914	-15.2704435530734	-16.9580071513811	-19.9290624523733	-17.0588388696992	-18.4663763542336	-16.4179579413729	-18.994341158969	-16.6089752314214	-15.4222407272928	-15.7752571162942	-18.9983815141945
230426-LD-456.01	-17.9299441904664	-18.638459724053	-16.9862099987389	-16.039186771016	-20.2387667112423	-15.1037526713061	-18.4989462015671	-19.3466060686035	-17.5627108898534	-15.4269480326511	-14.3578908299394	-17.2478810023783	-15.1735921044141	-13.933312417845	-16.2591430830832	-17.5924722717744	-15.7704838352758	-14.5613628118233	-16.4963088718368	-17.7096777876985	-19.2473999552595	-15.2783882944258	-17.37840269363	-17.2351048627738	-14.9114218519429	-14.9264708811837	-17.1306593995202	-12.8474829157405	-15.5719909010342	-15.0920280909741	-15.7817123261226	-17.5669961370284	-16.6757407401323	-14.8590338253317	-15.071450008379	-16.7129328127137	-17.1217662815995	-19.470273423715	-15.518274918565	-16.2150184131485	-16.8269876405611	-15.1799403022914	-15.2704435530734	-16.9580071513811	-19.9290624523733	-17.0588388696992	-18.4663763542336	-16.4179579413729	-18.994341158969	-16.6089752314214	-15.4222407272928	-15.7752571162942	-18.9983815141945
230426-HT-119.01	-17.9299441904664	-18.638459724053	-16.9862099987389	-7.61888626667785	-20.2387667112423	-15.1037526713061	-18.4989462015671	-19.3466060686035	-17.5627108898534	-2.86876138074328	-4.03453492115242	-4.96101527956583	-5.2803103818648	-5.41114227986669	-5.57856629182006	-5.66067460555471	-5.72261170100805	-5.9124202082174	-6.14891996857515	-6.15784657391246	-6.50319026351859	-6.57003987714356	-6.57005515353788	-6.71388476625565	-6.82716530141293	-7.52575315889538	-7.53356670536248	-8.44604253326984	-8.5712625001328	-9.63643844611835	-13.4842818009685	-17.5669961370284	-16.6757407401323	-14.8590338253317	-15.071450008379	-16.7129328127137	-17.1217662815995	-19.470273423715	-15.518274918565	-16.2150184131485	-16.8269876405611	-15.1799403022914	-15.2704435530734	-16.9580071513811	-19.9290624523733	-17.0588388696992	-18.4663763542336	-16.4179579413729	-18.994341158969	-16.6089752314214	-15.4222407272928	-15.7752571162942	-18.9983815141945
230426-LD-456.05	-17.9299441904664	-6.23438378609966	-16.9862099987389	-16.039186771016	-20.2387667112423	-15.1037526713061	-18.4989462015671	-19.3466060686035	-0.380820468985112	-15.4269480326511	-14.3578908299394	-17.2478810023783	-15.1735921044141	-13.933312417845	-16.2591430830832	-17.5924722717744	-15.7704838352758	-14.5613628118233	-16.4963088718368	-17.7096777876985	-19.2473999552595	-15.2783882944258	-17.37840269363	-17.2351048627738	-14.9114218519429	-14.9264708811837	-17.1306593995202	-12.8474829157405	-15.5719909010342	-15.0920280909741	-15.7817123261226	-2.46908786446326	-16.6757407401323	-14.8590338253317	-15.071450008379	-16.7129328127137	-17.1217662815995	-19.470273423715	-15.518274918565	-16.2150184131485	-16.8269876405611	-15.1799403022914	-15.2704435530734	-16.9580071513811	-19.9290624523733	-17.0588388696992	-18.4663763542336	-16.4179579413729	-18.994341158969	-16.6089752314214	-15.4222407272928	-15.7752571162942	-18.9983815141945
230426-LD-463.01	-1.21010704559865	-18.638459724053	-16.9862099987389	-16.039186771016	-20.2387667112423	-15.1037526713061	-18.4989462015671	-0.81684927345009	-17.5627108898534	-15.4269480326511	-14.3578908299394	-17.2478810023783	-15.1735921044141	-13.933312417845	-16.2591430830832	-17.5924722717744	-15.7704838352758	-14.5613628118233	-16.4963088718368	-17.7096777876985	-19.2473999552595	-15.2783882944258	-17.37840269363	-17.2351048627738	-14.9114218519429	-14.9264708811837	-17.1306593995202	-12.8474829157405	-15.5719909010342	-15.0920280909741	-15.7817123261226	-17.5669961370284	-16.6757407401323	-14.8590338253317	-15.071450008379	-16.7129328127137	-17.1217662815995	-19.470273423715	-15.518274918565	-16.2150184131485	-16.8269876405611	-15.1799403022914	-15.2704435530734	-16.9580071513811	-19.9290624523733	-17.0588388696992	-18.4663763542336	-16.4179579413729	-18.994341158969	-16.6089752314214	-15.4222407272928	-15.7752571162942	-18.9983815141945
230809-LD-492.01	-0.0657231057037598	-18.638459724053	-4.60107179168548	-16.039186771016	-20.2387667112423	-15.1037526713061	-12.969250914383	-10.7566428868237	-17.5627108898534	-15.4269480326511	-14.3578908299394	-17.2478810023783	-15.1735921044141	-13.933312417845	-16.2591430830832	-17.5924722717744	-15.7704838352758	-14.5613628118233	-16.4963088718368	-17.7096777876985	-19.2473999552595	-15.2783882944258	-17.37840269363	-17.2351048627738	-14.9114218519429	-14.9264708811837	-17.1306593995202	-12.8474829157405	-15.5719909010342	-15.0920280909741	-15.7817123261226	-12.5952851814606	-16.6757407401323	-14.8590338253317	-15.071450008379	-16.7129328127137	-17.1217662815995	-19.470273423715	-15.518274918565	-16.2150184131485	-16.8269876405611	-15.1799403022914	-15.2704435530734	-16.9580071513811	-19.9290624523733	-17.0588388696992	-18.4663763542336	-16.4179579413729	-18.994341158969	-16.6089752314214	-15.4222407272928	-15.7752571162942	-18.9983815141945
230809-UC-198.01	-17.9299441904664	-6.02114442363433	-6.03616134670845	-10.8938950542082	-20.2387667112423	-15.1037526713061	-18.4989462015671	-19.3466060686035	-17.5627108898534	-15.4269480326511	-0.786454457693823	-17.2478810023783	-15.1735921044141	-8.4846436457427	-16.2591430830832	-17.5924722717744	-15.7704838352758	-14.5613628118233	-7.10298432732143	-17.7096777876985	-19.2473999552595	-15.2783882944258	-13.5903412456082	-17.2351048627738	-14.9114218519429	-14.9264708811837	-7.02706817292223	-7.48044426093199	-13.9964676909796	-15.0920280909741	-15.7817123261226	-9.84708763973312	-4.86344572452528	-6.03499185987621	-6.30201973758069	-7.17134963576402	-7.34039219580909	-9.65092588515785	-10.0153949052932	-10.204764802607	-16.8269876405611	-15.1799403022914	-15.2704435530734	-16.9580071513811	-19.9290624523733	-17.0588388696992	-18.4663763542336	-16.4179579413729	-18.994341158969	-16.6089752314214	-15.4222407272928	-15.7752571162942	-18.9983815141945
230809-LD-482.02	-4.7626262062021	-8.65306103276229	-13.6096404744368	-16.039186771016	-0.278865716624381	-15.1037526713061	-9.27720105741594	-19.3466060686035	-17.5627108898534	-15.4269480326511	-14.3578908299394	-17.2478810023783	-15.1735921044141	-13.933312417845	-16.2591430830832	-17.5924722717744	-15.7704838352758	-14.5613628118233	-16.4963088718368	-17.7096777876985	-19.2473999552595	-15.2783882944258	-17.37840269363	-17.2351048627738	-14.9114218519429	-14.9264708811837	-17.1306593995202	-8.74199106841912	-15.5719909010342	-15.0920280909741	-15.7817123261226	-17.5669961370284	-16.6757407401323	-14.8590338253317	-15.071450008379	-10.4186306258497	-13.1397544981636	-19.470273423715	-15.518274918565	-16.2150184131485	-5.28872149180881	-15.1799403022914	-15.2704435530734	-16.9580071513811	-19.9290624523733	-17.0588388696992	-18.4663763542336	-16.4179579413729	-18.994341158969	-16.6089752314214	-15.4222407272928	-15.7752571162942	-18.9983815141945
230809-LD-496.02	-8.22011079527089	-7.78113698543945	-9.55636330081233	-4.4648379712845	-6.75151267114732	-15.1037526713061	-11.0512261488075	-5.91321747670329	-17.5627108898534	-6.4775496769056	-5.40419526538431	-4.61353477581648	-15.1735921044141	-13.933312417845	-16.2591430830832	-5.22401798584104	-15.7704838352758	-14.5613628118233	-16.4963088718368	-17.7096777876985	-7.38069145675327	-4.29105448420381	-5.90046506999575	-6.56124511553214	-14.9114218519429	-14.9264708811837	-5.20001729869272	-7.26273470276084	-5.73180220469103	-6.28063367198655	-12.4002871637766	-17.5669961370284	-7.35430180292388	-9.0193758063265	-6.08086981912552	-16.7129328127137	-6.64942472013638	-9.38348220161622	-14.246046399354	-10.8396452035611	-16.8269876405611	-6.49602595975825	-7.22144173869972	-8.88336882702594	-9.53599382137173	-9.78957300035984	-17.4663763542336	-16.4179579413729	-18.994341158969	-16.6089752314214	-15.4222407272928	-15.7752571162942	-18.9983815141945
