sample_id,12-oxochenodeoxycholic acid,12-oxolithocholic acid,2-methylbutyrate,3-aminoisobutyrate,3-deoxycholic acid,3-hydroxyanthranilic acid,3-oxocholic acid,3-oxodeoxycholic acid or 3-oxochenodeoxycholic acid,3-oxolithocholic acid,4-methylvalerate,5-aminovalerate,5-hydroxy-l-tryptophan,5hiaa,7-oxodeoxycholic acid,7-oxolithocholic acid or 6-oxolithocholic acid,acetate,alanine,allocholic acid,alloisolithocholic acid,allolithocholic acid,alpha-muricholic acid,anthranilic acid,aspartate,benzoate,beta-muricholic acid,biotin,butyrate,chenodeoxycholic acid,cholic acid,crotonate,cysteine,deoxycholic acid,desaminotyrosine,dopamine,epinephrine,folate,gamma-muricholic acid,glutamate,glycine,glycochenodeoxycholic acid,glycocholic acid,glycodehydrocholic acid,glycodeoxycholic acid,glycohyodeoxycholic acid,glycolithocholic acid,glycoursodeoxycholic acid,hexanoate,histamine,hydrocinnamate,hyodeoxycholic acid,indole,indole pyruvic acid,indole-3-acetamide,indole-3-acetic acid,indole-3-acrylic acid,indole-3-lactic acid,indole-3-propionic acid,isobutyrate,isodeoxycholic acid,isoleucine,isolithocholic acid,isovaleric acid,itaconate,kynurenic acid,kynurenine,leucine,lithocholic acid,lysine,melatonin,methionine,methylserotonin,n-acetylserotonin,niacin,omega-muricholic acid or 3-epicholic acid,p-cresol,palmitate,pantothenic acid,phenol,phenylacetate,phenylalanine,picolinic acid,PLP,pre-q1,proline,propionate,queuine,quinolinic acid,serine,serotonin,succinate,tauro-alpha-muricholic acid or tauro-beta-muricholic acid,taurochenodeoxycholic acid,taurocholic acid,taurodeoxycholic acid,taurohyodeoxycholic acid,taurolithocholic acid,tauroursodeoxycholic acid,threonine,trans-indole-3-acrylate,tryptamine,tryptophan,tryptophol,tyramine,tyrosine,ursodeoxycholic acid,valerate,valine
HT_056_03,0.60402,0.00906,1.76938,0.04731,0.0046,0.01079,0.57465,0.03193,0.01138,1.45666,1.96559,0.01978,0.02121,0.07731,0.31812,26.12393,3.79272,0.45222,0.00906,0.00906,0.00929,0.01893,0.10622,0.5221,0.02153,0.02526,13.10499,1.40175,11.78688,0.00865,0.39398,0.0222,0.40089,0.03331,0,0,0.09091,0.29369,0.0147,0.02571,0.13551,0.00174,0.008,0.00402,0.0037200000000000002,0.0037200000000000002,0.1294,0.00865,0.07221,0.0157,0.0271,0.00473,0,0.21246,0.00127,0.26165,0.05154,3.56767,0.02683,0.86992,0.00906,1.00344,0.00865,0.12983,0.03386,1.05467,0.02718,0.15449,0.00696,0.85313,0,0.05215,1.97412,1.44286,0.11905,16.80543,1.27272,0.01203,0.37771,70.09893,0,0.00442,0.01277,0.3965,27.97575,0.13177,0.00163,0.00865,0.17999,2.69398,0.00548,0.05681,0.03081,0.01318,0.00333,0.0068,0.00333,0.0282,0.00865,36.54129,28.23239,0.06673,6.83083,12.25958,0.05047,0.58938,1.299
HT_099_02,0.04603,3.3269,7.28085,0,0.03753,0,0.03013,11.35749,0.54209,0.25114,0.88938,0.00457,0.01759,0.12577,0.14666,5.75941,2.63743,0.01868,0.005,0.04335,0.10463,0.09353,0,0.26044,0.03794,0.27029,12.15433,0.64488,0.54888,0.37359,0.23988,69.44472,0,0.03128,0,0,0.10578,0.23988,0.06723,0.30966,0.48542,0.00172,0.59624,4.9e-4,0.04419,0.0065,9.40259,0,0,0.0741,0.05599,0,0,0.06925,0,0,0.00942,5.72538,8.82421,2.93242,0.31627,8.41625,0,1.1023,0.01391,2.43325,6.38228,0,0,0,0.01013,0.00338,1.37848,0.16801,8.86173,16.069210000000002,0.64967,0,1.52696,35.22537,0,0,0.15348,0.86448,5.39899,0.37892,0,0,0.17255,0,0.00608,0.10396,0.082170000000000007,0.09067,0.00146,0.00682,0.00254,0,0,1.90407,7.87982,0.03782,0,8.52197,0.02058,13.21975,3.28913
HT_119_01,0.01781,0.47567,8.13526,0.01443,0.00104,0,0.01054,2.24185,0.34146,0.06797,0.66509,0,0.00566,0.00637,0.04019,7.70742,3.62021,0.0089,0.01096,0.17636,0.0281,0.0198,0.05264,0.05182,0.00287,0.1724,20.96459,0.42284,0.10405,0,0.0112,34.85944,0.00758,0.03084,0.04419,0.00502,0.04463,0.16909,0.01473,0.01796,0.01187,0.00211,0.05974,0,0.01112,0,0.12986,0,0.57304,0.04706,0,0,0,0.02431,0.00465,0.02785,0.15486,7.02023,2.96234,5.85232,0.20605,8.99812,0,0.10013,0.01841,8.22012,5.11171,0.55256,0,0.3188,0.73399,0.02076,1.31104,0,8.43735,10.13416,1.4456,0.17989,1.27348,41.33583,0,0,0.11914,2.86857,10.30226,0.07785,0,0,0.84231,0.07426,0,0.01586,0.00973,0.03722,0,0.00976,0,0,0,0.35751,6.40669,0.00493,0.01101,11.63296,0.01959,8.47965,10.06105
LD_011_04,1.04988,0.01852,5.39317,0.0093,0.00827,0.01229,0.37743,0.94889,0.01161,0.02653,1.95031,0.0046,0.0189,0.17901,0.27755,14.64576,3.44648,2.75917,0.01161,0.09801,0.01594,0.01852,0.09464,0.25367,0.21017,0.03485,51.18578,5.15287,8.19409,0.11659,0.07728,1.03548,0.24731,0.0158,0.00657,0,0.32795,0.11339,0.03162,0.01851,0.02494,0.00767,0.00767,0.00767,0.00804,0.00767,24.54202,0.03692,0.02086,0.02985,0.01121,0,0,0.02403,0.00236,0.05127,0.49731,5.14564,0.61571,1.73768,0.01161,8.31796,0.0093,1.68755,0.01581,1.91759,0.10214,0.56618,0.0021,0.12072,0,0.01898,2.18547,0.84218,1.08583,19.46206,1.26285,0.01794,0.59483,36.36697,0,0.00356,0.01915,0.96703,10.9067,0.11962,0.00875,0.0093,0.29289,0.12319,0.02019,0.01329,0.00924,0.03328,0.0085,0.005914,0.09594,0.0093,0.0093,0.59466,9.68616,0.0236,0.0093,9.23787,0.99906,31.59899,3.03802
LD_020_01,7.14434,0.02444,7.91025,0.31425,4.3e-4,0.01237,0.24083,0.14068,0.01014,3.04609,1.78188,0.01,0.01419,0.21722,1.24928,6.17002,0.95063,0.36617,0.00125,0.05756,0.01276,0.14744,0.09143,0.2824,0.02071,0.32686,18.21218,6.05443,33.64997,0.03069,0.13865,0.2173,0.28793,0.19922,0.00908,0.01361,0.14063,0.05233,0.00715,0.01846,0.0307,0.00616,0.00561,0.00457,0.0039,0.06306,0.17876,0.01047,0.47655,0.04797,0.02225,0,0,0.02446,0.00188,0.00395,0.07096,7.06091,0.22341,2.25081,0.00749,9.78616,0.01047,0.43812,0.02192,3.03019,0.05756,0.42607,0.00256,0.24309,0.0017,0.00341,1.45852,0.75605,5.9697,18.51953,6.56306,2.65067,0.91766,61.44746,0,0.04791,0.02116,1.29193,17.06897,1.31006,0.00605,0.01182,0.18578,0.01172,0.64588,0.10638,0.09688,0.00188,0.136486,0.00427,0.02429,0.01047,0.01047,20.38247,7.00971,0.0158,33.17602,6.66243,5.67954,1.14601,3.47599
LD_024_02,0.00227,0,0.00987,0.00987,4.6e-4,0.00462,6.6e-4,6.9e-4,0.00192,0.00987,0.00987,0.0021,0.00289,3.7e-4,0,1.38988,2.27946,0.01363,0,0.03986,5.9e-4,0.01853,0.13087,0.21844,2.7e-4,0,0.02603,0.001,0.0594,0.00987,0.09546,0.00361,0.00987,0,0.00113,0,3.2e-4,0.13014,0.18872,0.11208,0.17953,0.00371,0.00771,0.00218,0.00196,0.00414,0.08341,0.00987,0.00987,0,0,0,0,0.00158,0,0,0,0.00987,0.0017,19.82059,0.0011,0.00987,0.00987,1.69906,0.02647,28.83832,0.03986,1.0957,0.00178,0.32332,0,0,0.00493,2.7e-4,0.00987,3.81759,0.04723,0.00987,0.00987,143.35166,0,0,0,3.93682,0.02151,0,0.05773,0.00987,0.02218,0.00987,0.00158,0.00994,0.39062,0.001,0.01257,0.00197,0.00193,0.04123,0.00987,0.00139,70.24937,0.00104,0.01451,31.04886,0,0.02394,39.28705
LD_024_07,0.023,0.001,10.42975,0.01286,0.002,0.06482,0.1,0.001,0.014,14.3445,43.08061,0.02314,0.01817,0.05,0.003,16.53477,7.84228,0.256,0.002,0,0.008,0.02462,0.12215,0.54229,0.015,0.01719,3.50214,0.73,61.239,0.01286,0.24297,0.029,3.61429,0.24098,0.00212,0.00226,0.141,1.54176,0.03478,0.042,0.201,0.002,0.004,0.003,0.004,0.001,0.13327,0.01286,3.55489,0.001,0.05036,0,9.1e-4,0.01304,0.2089,0.15816,6.59404,9.47348,0,0.36948,0,2.08747,0.01286,2.32985,0.03012,0.78206,0.013,5.82554,0.00205,0.38413,0,0.00163,0.78872,0.017,0.01286,1.08032,0.69503,0.01286,0.01501,40.14164,0,0.00106,0.04669,0.03681,10.49535,0.01675,0.01253,0.01286,0.21179,0.11918,0.005,0.108,0.144,0.007,0.009,0.006,0.009,0.01286,0.01286,48.03469,46.66372,0.0493,7.49748,0.59804,0.001,0.55272,0.75394
LD_032_02,1.376,0.003,0.30511,0.22765,0,0.00308,0.176,0.089,0.017,0.01326,0.42796,0.00192,0.0043,0.132,0.187,63.77574,9.16581,0.073,0.006,0.103,0.008,0.00516,0.119,0.58286,0.118,0.02689,10.68617,0.499,4.735,0.01326,0.17528,0.02,0.15675,0.00229,0.00654,0,0.224,0.11706,0.0241,0.06,0.025,0.001,0.002,0.001,0.002,0.001,0.0666,0.01326,0.03439,0.003,0.00611,0,0,0.00216,0,0.60283,0.04834,0.45473,0.001,0.20679,0.013,0.43092,0.01326,0.07968,0.00758,0.38608,0.105,0.32273,0.00181,0.17971,0.00256,0.00139,0.69263,0.37,0.01326,0.74331,0.70871,0.01326,0.0537,35.80784,0,0.00238,0.0348,0.2527,6.20623,0.03206,0.00987,0.01326,0.03653,3.11536,0.017,0.066,0.018,0.004,0.003,0.002,0.002,0.01501,0.01326,0.02608,4.14401,0.0012,0.04832,11.82401,0.019,0.41462,0.97074
LD_032_03,0.01059,0.02607,0.04424,0.0148,0.01059,0.00127,0.01453,0.01059,0.02607,0.00645,0.00645,0.00693,0.0043,0.01059,0.02607,0.38942,14.39107,0.25566,0.02607,0.02607,0.02134,0.00487,0.70493,0.69829,0.02134,0.0033,0.03314,0.38953,1.6992,0.00708,2.97916,0.01498,0.00645,0,0,0.0088,0.02134,1.43213,0.06514,60.93997,199.10648,0.00915,0.2004,0.01296,0.00915,0.09097,0.24175,0.00645,0.00645,0.01059,0.00141,0,8.3e-4,6e-4,0,0.00166,0,0.04797,0.01059,3.7152,0.02607,0.09805,0.00645,0.7772,0.02379,4.94278,0.02607,2.46518,0.00255,1.52499,5.2e-4,0,0.05575,0.02134,0.00645,4.85656,0.11254,0.00645,0.00645,160.20092,0,0,0,2.33756,0.03314,0,7.5e-4,0.00645,0.0285,0.06345,0.04591,16.90453,39.95129,0.08761,0.01194,0.02271,0.03384,0.1864,0.00645,7.3e-4,78.46446,0,0.02694,39.25829,0.01059,0.06589,6.65281
LD_037_04,0.017,0,0.02792,0.02792,0.008,7.2e-4,0.026,0.009,0.004,0.02792,0.02792,0.02281,0.00158,0.016,0.007,8.43625,8.43711,0.197,0.004,0.007,0.016,0.00223,0.84843,1.01487,0,0.0026,0.08575,0.87,5.274,0.02792,1.01749,0.054,0.02792,1.18852,0.00467,0,0.362,1.16017,0.43137,0.031,0.108,0.007,0.006,0.005,0.003,0.004,0.04886,0.02792,0.02792,0.007,0.00514,0.09449,0.00327,0.00183,0.00201,0.00411,0,0.02792,0.006,38.62458,0,0.02792,0.02792,0.3615,0.0395,41.48046,0.009,2.51206,0.00128,0.76098,0.14989,0,0.18016,0.017,0.02792,31.26083,0.19233,0.02792,0.02792,195.68632,0,0,0,17.35283,0.05073,0,6.8e-4,0.02792,0.01423,0.03002,0.02,0.234,0.439,0.015,0.005,0.004,0.009,0.02792,0.02792,0.16803,104.9851,0.00496,3.23916,1.98547,0.009,0.02792,81.48884
LD_060_05,0,0,0.00632,0.006,0.001,0.00401,0.001,0,0.007,0.006,0.006,0.04041,0.00155,0,0.001,0.38334,28.02039,0.004,0.001,0.001,0.001,0.00602,1.01243,0.57608,0.001,0.00654,0.02676,0.061,0.068,0.006,0.82106,0.007,0.006,0.02165,0,0.00905,0.001,1.1054,0.15065,0.008,0.017,0,0.003,0.013,0.002,0.011,0.18737,0.006,0.006,0,0.003,0,0.00266,0.00285,0,0.00712,0,0.01395,0,5.44005,0.003,0.01106,0.006,1.54827,0.22978,8.61464,0.009,5.15996,0.00184,2.14597,0,0,0.13903,0.001,0.006,10.30903,0.34981,0.006,0.006,235.72211,0,0.00172,0,3.25601,0.02676,0.00412,0,0.01934,0.01191,0.02014,0.005,0.008,0.006,0.003,0.002,0.002,0.003,0.1463,0.006,1.50001,125.2753,0,10.55995,1.99132,0,0.0393,9.75251
